route_id,trip_id,service_id,direction_id,trip_headsign
RED,RED-WK-0-1-06.00-MYP,WK,0,RDG2
RED,RED-WK-0-2-05.59-MYP,WK,0,RDG2
RED,RED-WK-0-3-06.00-MYP,WK,0,RDG2
RED,RED-WK-0-4-06.00-MYP,WK,0,RDG2
RED,RED-WK-0-5-05.58-MYP,WK,0,RDG2
RED,RED-WK-0-6-06.09-MYP,WK,0,RDG2
RED,RED-WK-0-7-06.15-MYP,WK,0,RDG2
RED,RED-WK-0-8-06.22-MYP,WK,0,RDG2
RED,RED-WK-0-9-06.26-MYP,WK,0,RDG2
RED,RED-WK-0-10-06.35-MYP,WK,0,RDG2
RED,RED-WK-0-11-06.42-MYP,WK,0,RDG2
RED,RED-WK-0-12-06.48-MYP,WK,0,RDG2
RED,RED-WK-0-13-06.55-MYP,WK,0,RDG2
RED,RED-WK-0-14-07.03-MYP,WK,0,RDG2
RED,RED-WK-0-15-07.08-MYP,WK,0,RDG2
RED,RED-WK-0-16-07.14-MYP,WK,0,RDG2
RED,RED-WK-0-17-07.17-MYP,WK,0,RDG2
RED,RED-WK-0-18-07.23-MYP,WK,0,RDG2
RED,RED-WK-0-19-07.26-MYP,WK,0,RDG2
RED,RED-WK-0-20-07.32-MYP,WK,0,RDG2
RED,RED-WK-0-21-07.35-MYP,WK,0,RDG2
RED,RED-WK-0-22-07.41-MYP,WK,0,RDG2
RED,RED-WK-0-23-07.44-MYP,WK,0,RDG2
RED,RED-WK-0-24-07.48-MYP,WK,0,RDG2
RED,RED-WK-0-25-07.54-MYP,WK,0,RDG2
RED,RED-WK-0-26-07.57-MYP,WK,0,RDG2
RED,RED-WK-0-27-08.02-MYP,WK,0,RDG2
RED,RED-WK-0-28-08.08-MYP,WK,0,RDG2
RED,RED-WK-0-29-08.11-MYP,WK,0,RDG2
RED,RED-WK-0-30-08.15-MYP,WK,0,RDG2
RED,RED-WK-0-31-08.21-MYP,WK,0,RDG2
RED,RED-WK-0-32-08.24-MYP,WK,0,RDG2
RED,RED-WK-0-33-08.29-MYP,WK,0,RDG2
RED,RED-WK-0-34-08.35-MYP,WK,0,RDG2
RED,RED-WK-0-35-08.38-MYP,WK,0,RDG2
RED,RED-WK-0-36-08.42-MYP,WK,0,RDG2
RED,RED-WK-0-37-08.47-MYP,WK,0,RDG2
RED,RED-WK-0-38-08.51-MYP,WK,0,RDG2
RED,RED-WK-0-39-08.56-MYP,WK,0,RDG2
RED,RED-WK-0-40-09.00-MYP,WK,0,RDG2
RED,RED-WK-0-41-09.05-MYP,WK,0,RDG2
RED,RED-WK-0-42-09.09-MYP,WK,0,RDG2
RED,RED-WK-0-43-09.14-MYP,WK,0,RDG2
RED,RED-WK-0-44-09.18-MYP,WK,0,RDG2
RED,RED-WK-0-45-09.23-MYP,WK,0,RDG2
RED,RED-WK-0-46-09.27-MYP,WK,0,RDG2
RED,RED-WK-0-47-09.32-MYP,WK,0,RDG2
RED,RED-WK-0-48-09.36-MYP,WK,0,RDG2
RED,RED-WK-0-49-09.41-MYP,WK,0,RDG2
RED,RED-WK-0-50-09.45-MYP,WK,0,RDG2
RED,RED-WK-0-51-09.50-MYP,WK,0,RDG2
RED,RED-WK-0-52-09.54-MYP,WK,0,RDG2
RED,RED-WK-0-53-09.59-MYP,WK,0,RDG2
RED,RED-WK-0-54-10.03-MYP,WK,0,RDG2
RED,RED-WK-0-55-10.08-MYP,WK,0,RDG2
RED,RED-WK-0-56-10.12-MYP,WK,0,RDG2
RED,RED-WK-0-57-10.17-MYP,WK,0,RDG2
RED,RED-WK-0-58-10.21-MYP,WK,0,RDG2
RED,RED-WK-0-59-10.26-MYP,WK,0,RDG2
RED,RED-WK-0-60-10.30-MYP,WK,0,RDG2
RED,RED-WK-0-61-10.35-MYP,WK,0,RDG2
RED,RED-WK-0-62-10.39-MYP,WK,0,RDG2
RED,RED-WK-0-63-10.44-MYP,WK,0,RDG2
RED,RED-WK-0-64-10.48-MYP,WK,0,RDG2
RED,RED-WK-0-65-10.53-MYP,WK,0,RDG2
RED,RED-WK-0-66-10.57-MYP,WK,0,RDG2
RED,RED-WK-0-67-11.02-MYP,WK,0,RDG2
RED,RED-WK-0-68-11.06-MYP,WK,0,RDG2
RED,RED-WK-0-69-11.11-MYP,WK,0,RDG2
RED,RED-WK-0-70-11.15-MYP,WK,0,RDG2
RED,RED-WK-0-71-11.20-MYP,WK,0,RDG2
RED,RED-WK-0-72-11.24-MYP,WK,0,RDG2
RED,RED-WK-0-73-11.29-MYP,WK,0,RDG2
RED,RED-WK-0-74-11.36-MYP,WK,0,RDG2
RED,RED-WK-0-75-11.42-MYP,WK,0,RDG2
RED,RED-WK-0-76-11.49-MYP,WK,0,RDG2
RED,RED-WK-0-77-11.56-MYP,WK,0,RDG2
RED,RED-WK-0-78-12.03-MYP,WK,0,RDG2
RED,RED-WK-0-79-12.09-MYP,WK,0,RDG2
RED,RED-WK-0-80-12.16-MYP,WK,0,RDG2
RED,RED-WK-0-81-12.23-MYP,WK,0,RDG2
RED,RED-WK-0-82-12.30-MYP,WK,0,RDG2
RED,RED-WK-0-83-12.36-MYP,WK,0,RDG2
RED,RED-WK-0-84-12.43-MYP,WK,0,RDG2
RED,RED-WK-0-85-12.50-MYP,WK,0,RDG2
RED,RED-WK-0-86-12.57-MYP,WK,0,RDG2
RED,RED-WK-0-87-13.03-MYP,WK,0,RDG2
RED,RED-WK-0-88-13.10-MYP,WK,0,RDG2
RED,RED-WK-0-89-13.17-MYP,WK,0,RDG2
